,title,properties
327,oggaviparse,"name,parent"
328,audiotestsrc,"name,parent,blocksize,num-buffers,typefind,do-timestamp,samplesperbuffer,wave,freq,volume,is-live,timestamp-offset,can-activate-push,can-activate-pull"
329,spectrum,"name,parent,qos,post-messages,message-magnitude,message-phase,interval,bands,threshold,multi-channel"
330,dvdlpcmdec,"name,parent,min-latency,tolerance,plc"
331,smooth,"name,parent,qos,active,tolerance,filter-size,luma-only"
332,pitch,"name,parent,output-rate,rate,tempo,pitch"
333,bpmdetect,"name,parent,qos"
334,gsmenc,"name,parent,perfect-timestamp,mark-granule,hard-resync,tolerance"
335,gsmdec,"name,parent,min-latency,tolerance,plc"
336,alsasrc,"name,parent,blocksize,num-buffers,typefind,do-timestamp,buffer-time,latency-time,actual-buffer-time,actual-latency-time,provide-clock,slave-method,device,device-name,card-name"
337,alsasink,"name,parent,sync,max-lateness,qos,async,ts-offset,enable-last-sample,last-sample,blocksize,render-delay,throttle-time,max-bitrate,buffer-time,latency-time,provide-clock,slave-method,can-activate-pull,alignment-threshold,drift-tolerance,discont-wait,device,device-name,card-name"
338,alsamidisrc,"name,parent,blocksize,num-buffers,typefind,do-timestamp,ports"
339,faceoverlay,"name,parent,async-handling,message-forward,location,x,y,w,h"
340,audiopanorama,"name,parent,qos,panorama,method"
341,audioinvert,"name,parent,qos,degree"
342,audiokaraoke,"name,parent,qos,level,mono-level,filter-band,filter-width"
343,audioamplify,"name,parent,qos,amplification,clipping-method"
344,audiodynamic,"name,parent,qos,characteristics,mode,threshold,ratio"
345,audiocheblimit,"name,parent,qos,mode,type,cutoff,ripple,poles"
346,audiochebband,"name,parent,qos,mode,type,lower-frequency,upper-frequency,ripple,poles"
347,audioiirfilter,"name,parent,qos,a,b"
348,audiowsinclimit,"name,parent,qos,low-latency,drain-on-changes,length,cutoff,mode,window"
349,audiowsincband,"name,parent,qos,low-latency,drain-on-changes,length,lower-frequency,upper-frequency,mode,window"
350,audiofirfilter,"name,parent,qos,low-latency,drain-on-changes,kernel,latency"
351,audioecho,"name,parent,qos,delay,max-delay,intensity,feedback,surround-delay,surround-mask"
352,scaletempo,"name,parent,qos,rate,stride,overlap,search"
353,lamemp3enc,"name,parent,perfect-timestamp,mark-granule,hard-resync,tolerance,target,bitrate,cbr,quality,encoding-engine-quality,mono"
354,ximagesrc,"name,parent,blocksize,num-buffers,typefind,do-timestamp,display-name,show-pointer,use-damage,startx,starty,endx,endy,remote,xid,xname"
355,srtenc,"name,parent,timestamp,duration"
356,webvttenc,"name,parent,timestamp,duration"
357,ipcpipelinesrc,"name,parent,fdin,fdout,read-chunk-size,ack-time"
358,ipcpipelinesink,"name,parent,fdin,fdout,read-chunk-size,ack-time"
359,ipcslavepipeline,"name,parent,async-handling,message-forward,delay,auto-flush-bus,latency"
360,cairooverlay,"name,parent,qos"
361,dvdsubdec,"name,parent"
362,dvdsubparse,"name,parent"
363,accurip,"name,parent,qos,first-track,last-track"
364,equalizer-nbands,"name,parent,qos,num-bands"
365,equalizer-3bands,"name,parent,qos,band0,band1,band2"
366,equalizer-10bands,"name,parent,qos,band0,band1,band2,band3,band4,band5,band6,band7,band8,band9"
367,amrnbdec,"name,parent,min-latency,tolerance,plc,variant"
368,amrnbenc,"name,parent,perfect-timestamp,mark-granule,hard-resync,tolerance,band-mode"
369,jpegenc,"name,parent,qos,quality,idct-method,snapshot"
370,jpegdec,"name,parent,idct-method,max-errors"
371,cdiocddasrc,"name,parent,blocksize,num-buffers,typefind,do-timestamp,mode,device,track,read-speed"
372,subparse_typefind,
373,subparse,"name,parent,subtitle-encoding,video-fps"
374,ssaparse,"name,parent"
375,teletextdec,"name,parent,page,subpage,subtitles-mode,subtitles-template,font-description"
376,openmptdec,"name,parent,current-subsong,subsong-mode,num-loops,output-mode,master-gain,stereo-separation,filter-length,volume-ramping,output-buffer-size"
377,id3mux,"name,parent,write-v1,write-v2,v2-version"
378,katedec,"name,parent,language,category,original-canvas-width,original-canvas-height,remove-markup"
379,kateenc,"name,parent,language,category,granule-rate-numerator,granule-rate-denominator,granule-shift,keepalive-min-time,original-canvas-width,original-canvas-height,default-spu-duration"
380,kateparse,"name,parent"
381,katetag,"name,parent,language,category,original-canvas-width,original-canvas-height"
382,mmssrc,"name,parent,blocksize,num-buffers,typefind,do-timestamp,location,connection-speed"
383,oss4sink,"name,parent,sync,max-lateness,qos,async,ts-offset,enable-last-sample,last-sample,blocksize,render-delay,throttle-time,max-bitrate,buffer-time,latency-time,provide-clock,slave-method,can-activate-pull,alignment-threshold,drift-tolerance,discont-wait,device,device-name,volume,mute"
384,oss4src,"name,parent,blocksize,num-buffers,typefind,do-timestamp,buffer-time,latency-time,actual-buffer-time,actual-latency-time,provide-clock,slave-method,device,device-name"
385,multifilesrc,"name,parent,blocksize,num-buffers,typefind,do-timestamp,location,index,start-index,stop-index,caps,loop"
386,multifilesink,"name,parent,sync,max-lateness,qos,async,ts-offset,enable-last-sample,last-sample,blocksize,render-delay,throttle-time,max-bitrate,location,index,post-messages,next-file,max-files,max-file-size,max-file-duration,aggregate-gops"
387,splitfilesrc,"name,parent,blocksize,num-buffers,typefind,do-timestamp,location"
388,splitmuxsink,"name,parent,async-handling,message-forward,location,max-size-time,max-size-bytes,max-size-timecode,send-keyframe-requests,max-files,mux-overhead,use-robust-muxing,alignment-threshold,muxer,sink"
389,splitmuxsrc,"name,parent,async-handling,message-forward,location"
390,audiochannelmix,"name,parent,qos,left-to-left,left-to-right,right-to-left,right-to-right"
391,playbin,"name,parent,async-handling,message-forward,delay,auto-flush-bus,latency,uri,current-uri,suburi,current-suburi,source,flags,n-video,current-video,n-audio,current-audio,n-text,current-text,subtitle-encoding,audio-sink,video-sink,vis-plugin,text-sink,video-stream-combiner,audio-stream-combiner,text-stream-combiner,volume,mute,sample,subtitle-font-desc,connection-speed,buffer-size,buffer-duration,av-offset,ring-buffer-max-size,force-aspect-ratio,audio-filter,video-filter,video-multiview-mode,video-multiview-flags"
